,Date,Sex,Age
865,2012.0,Male,36.0
866,2013.0,Male,31.0
867,2012.0,Male,33.0
868,2015.0,Male,50.0
869,2013.0,Male,50.0
870,2014.0,Male,37.0
871,2015.0,Male,23.0
872,2012.0,Male,58.0
873,2013.0,Male,46.0
874,2012.0,Male,48.0
875,2012.0,Male,20.0
876,2014.0,Female,51.0
877,2013.0,Male,50.0
878,2014.0,Female,36.0
879,2014.0,Female,39.0
880,2013.0,Male,50.0
881,2015.0,Female,45.0
882,2015.0,Male,21.0
883,2013.0,Male,22.0
884,2015.0,Male,58.0
885,2013.0,Female,58.0
886,2012.0,Male,27.0
887,2014.0,Female,35.0
888,2013.0,Male,22.0
889,2013.0,Male,38.0
890,2014.0,Female,20.0
891,2012.0,Male,38.0
892,2015.0,Male,47.0
893,2015.0,Female,72.0
894,2013.0,Male,20.0
895,2014.0,Male,40.0
896,2013.0,Female,63.0
897,2015.0,Male,34.0
898,2012.0,Male,25.0
899,2014.0,Male,58.0
900,2015.0,Female,28.0
901,2012.0,Male,40.0
902,2013.0,Male,20.0
903,2014.0,Male,35.0
904,2015.0,Female,48.0
905,2014.0,Female,55.0
906,2015.0,Male,57.0
907,2013.0,Male,47.0
908,2015.0,Male,28.0
909,2013.0,Male,47.0
910,2014.0,Female,53.0
911,2013.0,Male,32.0
912,2015.0,Female,19.0
913,2014.0,Female,59.0
914,2012.0,Female,62.0
915,2012.0,Male,50.0
916,2014.0,Male,25.0
917,2014.0,Male,65.0
918,2012.0,Female,54.0
919,2012.0,Male,54.0
920,2015.0,Male,42.0
921,2012.0,Male,54.0
922,2013.0,Female,49.0
923,2013.0,Male,40.0
924,2015.0,Female,51.0
925,2014.0,Female,54.0
926,2015.0,Male,18.0
927,2014.0,Female,35.0
928,2014.0,Female,70.0
929,2014.0,Male,75.0
930,2015.0,Male,37.0
931,2013.0,Male,57.0
932,2015.0,Male,36.0
933,2014.0,Male,29.0
934,2012.0,Male,50.0
935,2012.0,Female,52.0
936,2012.0,Female,75.0
937,2014.0,Male,29.0
938,2014.0,Male,37.0
939,2015.0,Female,44.0
940,2013.0,Female,41.0
941,2013.0,Male,22.0
942,2012.0,Female,31.0
943,2013.0,Female,20.0
944,2014.0,Male,40.0
945,2013.0,Female,63.0
946,2014.0,Female,51.0
947,2012.0,Male,66.0
948,2013.0,Male,36.0
949,2016.0,Male,36.0
950,2013.0,Male,34.0
951,2012.0,Male,32.0
952,2014.0,Female,54.0
953,2015.0,Female,39.0
954,2013.0,Male,39.0
955,2014.0,Female,43.0
956,2013.0,Female,51.0
957,2013.0,Female,45.0
958,2015.0,Male,23.0
959,2013.0,Male,53.0
960,2014.0,Male,54.0
961,2013.0,Female,27.0
962,2015.0,Male,28.0
963,2014.0,Male,18.0
964,2015.0,Male,34.0
965,2013.0,Female,53.0
966,2013.0,Male,60.0
967,2013.0,Male,26.0
968,2013.0,Female,58.0
969,2014.0,Male,38.0
970,2014.0,Female,43.0
971,2014.0,Male,54.0
972,2014.0,Female,53.0
973,2013.0,Male,32.0
974,2012.0,Male,23.0
975,2015.0,Female,32.0
976,2014.0,Male,47.0
977,2014.0,Male,44.0
978,2012.0,Female,47.0
979,2012.0,Male,53.0
980,2014.0,Male,37.0
981,2012.0,Male,19.0
982,2014.0,Female,27.0
983,2014.0,Male,54.0
984,2015.0,Female,45.0
985,2015.0,Male,50.0
986,2012.0,Male,29.0
987,2014.0,Male,24.0
988,2012.0,Male,32.0
989,2012.0,Male,34.0
990,2013.0,Male,21.0
991,2013.0,Female,48.0
992,2014.0,Male,44.0
993,2012.0,Male,29.0
994,2013.0,Male,37.0
